"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1013","Проверка удаления одного товара из корзины","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 2","tests.CartTest","checkRemoveProductFromCart"
"","902","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","907","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","942","Проверка перехода на страницу информации об оформлении заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutCompleteTest","Thread 2","tests.CheckoutCompleteTest","checkPageNavigationToCheckoutComplete"
"","665","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","904","Проверка валидного заполнения данных о покупателе","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","881","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","1513","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","589","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","972","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"Проверка добавления двух товаров в корзину","2193","Проверка добавления двух товаров в корзину","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 2","tests.CartTest","checkAddProductsFromProductsPage"
