"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"Проверка добавления двух товаров в корзину","2808","Проверка добавления двух товаров в корзину","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CartTest","Thread 2","tests.CartTest","checkAddProductsFromProductsPage"
"","864","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","888","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","929","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","1093","Проверка удаления одного товара из корзины","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CartTest","Thread 2","tests.CartTest","checkRemoveProductFromCart"
"","908","Проверка валидного заполнения данных о покупателе","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","1014","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","901","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","2168","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","972","Проверка перехода на страницу информации об оформлении заказа","SauceDemo suite","2026-06-14","passed","2026-06-14","tests.CheckoutCompleteTest","Thread 2","tests.CheckoutCompleteTest","checkPageNavigationToCheckoutComplete"
