"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","907","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"Проверка добавления двух товаров в корзину","2620","Проверка добавления двух товаров в корзину","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 2","tests.CartTest","checkAddProductsFromProductsPage"
"","1061","Проверка перехода на страницу информации об оформлении заказа","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutCompleteTest","Thread 2","tests.CheckoutCompleteTest","checkPageNavigationToCheckoutComplete"
"","1998","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","915","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","915","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","903","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
"","1041","Проверка удаления одного товара из корзины","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Thread 2","tests.CartTest","checkRemoveProductFromCart"
"","998","Проверка валидного заполнения данных о покупателе","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithPositiveCred"
"","689","checkLoginTestWithNegativeCred1","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Thread 1","tests.LoginTest","checkLoginTestWithNegativeCred1"
"","1077","checkCheckoutWithNegativeCred","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Thread 2","tests.CheckoutTest","checkCheckoutWithNegativeCred"
